Titolo;Personaggi;Editore;Anno di pubblicazione;Biblioteca;Prima lettura;Seconda lettura
La mano dell'Orologiaio;Lincoln Rhyme e Amelia Sachs;Rizzoli;2023;SI;11/11/2024;
La Mappa Nera;Colter Shaw;Rizzoli 2022;2021;SI;;30/01/2023
La notte della paura 15 + 1 inedita con Lincoln Rhyme;Antologie con lincoln Rhyme;Rizzoli 2008;2006;SI;;28/04/2022
La scimmia di pietra (The Stone Monkey);Lincoln Rhyme e Amelia Sachs;Sonzogno 2002;2002;SI;;28/01/2024
La sedia vuota (The Empty Chair);Lincoln Rhyme e Amelia Sachs;Sonzogno 2000;2000;SI;;01/03/2021
La stanza della morte (The Kill Room);Lincoln Rhyme e Amelia Sachs;Rizzoli 2013;2013;SI;15/07/2024;
La strada delle croci (Roadside Crosses);Kathryn Dance;Rizzoli 2009;2009;SI;;20/09/2021
Lo scheletro che balla (The Coffin Dancer);Lincoln Rhyme e Amelia Sachs;Sonzogno 1999;1998;SI;;01/02/2021
Menti pericolosi dodici storie per non dormire;Antologie con lincoln Rhyme;Rizzoli 2016;2016;SI;;16/06/2024
Nero a Manhattan (Manhattan Is My Beat);Trilogia di Rune;Rizzoli 2009;1988;SI;;03/12/2021
Nothing but net, in Murder at the Foul Line;Racconti brevi;;2006;NO;;
October list (The October List);Romanzi;Rizzoli 2014;2013;NO;;
Pietà per gli insonni;Romanzi;Baldini & Castoldi 1994;1993;SI;;
Più in là del nulla;Colter Shaw;Rizzoli 2025;2025;SI;11/11/2025;
Profondo Blu (The Blue Nowhere);Romanzi;Sonzogno 2001;2001;SI;;10/04/2021
Promesse (Vows, Where the Evidence Lies);Lincoln Rhyme e Amelia Sachs;;2019;NO;;
Requiem per una pornostar (Death Of A Blue Movie Star);Trilogia di Rune;Rizzoli 2010;1990;SI;;20/03/2023
Sarò la tua ombra;Kathryn Dance/Lincoln Rhyme;Rizzoli 2012;2012;SI;;30/10/2023
Solitude Creek (Solitude Creek);Kathryn Dance;Rizzoli 2015;;NO;;
Sotto terra (Shallow Graves);John Pellam;Sonzogno 2006;1992;SI;;31/10/2024
Spirali 15 + 1 inedita con Lincoln Rhyme;Antologie con lincoln Rhyme;Sonzogno 2004;2003;SI;;
Suspense 35 racconti;Racconti brevi;Sonzogno 2004;2004;SI;;
Tempo di Caccia;Colter Shaw;Rizzoli;2023;SI;;
The Deadline Clock;Colter Shaw;;;NO;;
The Final Twist;Colter Shaw;;2021;NO;;
The First Day Of School;Racconti brevi;;2002;NO;;
Trick Or Treat;Racconti brevi;;2008;NO;;
Verità imperfette;The Second Hostage);Colter Shaw;202;NO;;
Wrong Time, Wrong Place, in The Best Of The Best;Racconti brevi;;1997;NO;;
